Chemicals- Various,,,,,,,,,,,,,,,,,,,,,,,,,Target  Pay,,,o/o Hourly,,Revenue Share,,
Ship Point,Delivery Point,Product,dist. 1 way,rate $,drive hrs,Speed,fuel Sur,driving $,chains,load,unload ,load $,unload $,MT,Misc. $130,Per Trip,MT Rate,Rev (40MT),Hourly,driver Pay,standby ,hrs,o/o Bizi,o/o Own,Target Bizi,Target o/o,o/o Own,(h) w Bizi,(h) own,% o/o Bizi,% own,Bizi driver
"Edmonton, AB","Comox, BC",Alumnium Chlorohydrate,469,173.00,12.51,75.00,13%,"$2,163.65",$0.00,2,2,$140.00,$170.00,28,$0.00,"$2,783.78",$99.42,"$3,145.68",$190.57,$577.73,$28.00,16.51,"$1,898.38","$2,145.98",35,115,130,$115.01,$130.01,60.35%,68.22%,18.37%
"Edmonton, AB","Cumberland, BC",PAC,1330,170.00,35.47,75.00,13%,"$6,029.33",$0.00,2,2,$140.00,$170.00,28,$0.00,"$6,649.46",$237.48,"$7,513.89",$190.39,"$1,381.33",$28.00,39.47,"$4,538.78","$5,130.78",35,115,130,$115.00,$130.00,60.41%,68.28%,18.38%
"Edmonton, AB","Cumberland, BC",PAC,1330,171.00,38.00,70.00,13%,"$6,498.00",$0.00,4.5,2,128.89,$170.00,40,$0.00,"$7,418.14",$185.45,"$8,382.49",$188.37,"$1,557.50",$28.00,44.50,"$5,117.61","$5,785.11",35,115,130,$115.00,$130.00,61.05%,69.01%,18.58%
"Edmonton, AB","Dawson Creek, BC",PAC 8,574,171.00,14.35,80.00,13%,"$2,453.85",$0.00,1.5,1.5,$140.00,$170.00,7.6,$0.00,"$2,918.98",$384.08,"$3,298.45",$190.11,$607.25,$28.00,17.35,"$1,995.36","$2,255.61",35,115,130,$115.01,$130.01,60.49%,68.38%,18.41%
"Edmonton, AB","Fort Nelson, BC",PAC,1029,171.00,27.44,75.00,13%,"$4,692.24",$0.00,2,2,$140.00,$170.00,28,$0.00,"$5,312.37",$189.73,"$6,002.98",$190.93,"$1,100.40",$28.00,31.44,"$3,615.71","$4,087.31",35,115,130,$115.00,$130.00,60.23%,68.09%,18.33%
"Edmonton, AB","Fort Nelson, BC",ACH,1029,171.00,27.44,75.00,13%,"$4,692.24",$0.00,2,2,$140.00,$170.00,28,$0.00,"$5,312.37",$189.73,"$6,002.98",$190.93,"$1,100.40",$28.00,31.44,"$3,615.71","$4,087.31",35,115,130,$115.00,$130.00,60.23%,68.09%,18.33%
"Edmonton, AB",Kelowna BMID,PAC,912,171.00,24.32,75.00,13%,"$4,158.72",$0.00,2,2,$140.00,$170.00,28,$0.00,"$4,778.85",$170.67,"$5,400.10",$190.68,$991.20,$28.00,28.32,"$3,256.91","$3,681.71",35,115,130,$115.00,$130.00,60.31%,68.18%,18.36%
"Edmonton, AB","Lavington, BC",PAC,868,171.00,23.15,75.00,13%,"$3,958.08",$0.00,2,2,$140.00,$170.00,28,$0.00,"$4,578.21",$163.51,"$5,173.38",$190.57,$950.13,$25.00,27.15,"$3,257.71","$3,529.18",35,120,130,$120.00,$130.00,62.97%,68.22%,18.37%
"Edmonton, AB","Lavington, BC",PAC,868,173.00,24.80,70.00,13%,"$4,290.40",$0.00,4.5,2,128.89,$170.00,36,$0.00,"$5,210.54",$144.74,"$5,887.90",$188.11,"$1,095.50",$25.00,31.30,"$3,756.11","$4,069.11",35,120,130,$120.00,$130.00,63.79%,69.11%,18.61%
"Edmonton, AB","Lavington, BC",PAC,868,173.00,24.80,70.00,13%,"$4,290.40",$0.00,4.5,2,128.89,$170.00,40,$0.00,"$5,210.54",$130.26,"$5,887.90",$188.11,"$1,095.50",$28.00,31.30,"$3,756.11","$4,069.11",35,120,130,$120.00,$130.00,63.79%,69.11%,18.61%
